"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DELTACORP","EQ","22-Jul-2019","        156.45","        156.90","        156.90","        152.00","        155.90","        154.55","        154.08","     707283","           108977620.40","      10519","     441211","         62.38"
"DELTACORP","EQ","23-Jul-2019","        154.55","        155.20","        156.00","        151.20","        152.35","        152.80","        153.94","     644981","            99289834.75","       8357","     361164","         56.00"
"DELTACORP","EQ","24-Jul-2019","        152.80","        152.50","        153.50","        147.35","        148.70","        149.65","        149.68","     840959","           125875733.60","       7615","     548394","         65.21"
"DELTACORP","EQ","25-Jul-2019","        149.65","        148.30","        150.00","        145.75","        145.80","        146.30","        147.23","     573903","            84494630.55","       8103","     289172","         50.39"
"DELTACORP","EQ","26-Jul-2019","        146.30","        146.30","        151.35","        144.00","        147.05","        146.95","        147.71","     670428","            99030724.30","       9354","     245247","         36.58"
"DELTACORP","EQ","29-Jul-2019","        146.95","        147.55","        149.55","        144.00","        144.60","        145.05","        145.02","     593757","            86104206.50","       4879","     423646","         71.35"
"DELTACORP","EQ","30-Jul-2019","        145.05","        143.55","        149.65","        143.00","        143.00","        143.75","        145.06","     947012","           137377348.25","       7052","     588846","         62.18"
"DELTACORP","EQ","31-Jul-2019","        143.75","        141.85","        156.90","        141.65","        153.00","        152.90","        146.78","    3273656","           480500909.15","      15862","    2165786","         66.16"
"DELTACORP","EQ","01-Aug-2019","        152.90","        152.00","        153.50","        140.60","        148.50","        146.35","        145.26","    1628203","           236517479.70","      22043","     800423","         49.16"
"DELTACORP","EQ","02-Aug-2019","        146.35","        146.40","        149.95","        144.15","        146.05","        147.25","        147.11","     813883","           119728564.55","      10649","     362876","         44.59"
"DELTACORP","EQ","05-Aug-2019","        147.25","        144.05","        146.05","        139.10","        145.00","        144.80","        142.43","    2322686","           330830316.10","      22236","    1759576","         75.76"
"DELTACORP","EQ","06-Aug-2019","        144.80","        143.00","        149.40","        142.60","        144.60","        145.45","        146.22","    2050104","           299762573.85","      10345","    1384746","         67.55"
"DELTACORP","EQ","07-Aug-2019","        145.45","        145.00","        155.20","        144.95","        152.00","        150.50","        151.67","    1134774","           172116375.30","      11990","     379250","         33.42"
"DELTACORP","EQ","08-Aug-2019","        150.50","        155.00","        159.30","        150.70","        158.00","        157.30","        154.72","     773392","           119656933.15","       9757","     270634","         34.99"
"DELTACORP","EQ","09-Aug-2019","        157.30","        158.00","        163.45","        158.00","        159.60","        159.60","        160.91","     726140","           116846398.20","       8683","     290864","         40.06"
"DELTACORP","EQ","13-Aug-2019","        159.60","        160.50","        166.80","        160.00","        165.00","        163.80","        163.40","    1028204","           168007709.25","      10745","     317254","         30.86"
"DELTACORP","EQ","14-Aug-2019","        163.80","        164.00","        167.00","        163.60","        163.90","        164.25","        164.78","     376923","            62108953.50","       4237","     121695","         32.29"
"DELTACORP","EQ","16-Aug-2019","        164.25","        165.00","        165.00","        156.10","        156.70","        157.45","        159.19","     532190","            84716891.85","       7146","     249061","         46.80"
