"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANAPPURAM","EQ","30-Jun-2020","        152.75","        154.90","        155.70","        151.00","        151.60","        151.35","        153.27","    4830172","           740340202.70","      26254","    1115434","         23.09"
"MANAPPURAM","EQ","01-Jul-2020","        151.35","        152.55","        158.90","        152.15","        158.90","        158.30","        157.49","   14152106","          2228835117.70","      56218","    3152869","         22.28"
"MANAPPURAM","EQ","02-Jul-2020","        158.30","        159.40","        161.50","        157.55","        159.80","        159.55","        159.50","   11323340","          1806027311.20","      52887","    2413985","         21.32"
"MANAPPURAM","EQ","03-Jul-2020","        159.55","        160.50","        163.40","        159.00","        161.00","        161.30","        161.38","    7342400","          1184905041.30","      36882","    1161064","         15.81"
"MANAPPURAM","EQ","06-Jul-2020","        161.30","        162.00","        162.95","        159.30","        161.90","        161.60","        161.17","    4889414","           788009785.15","      24782","     740420","         15.14"
"MANAPPURAM","EQ","07-Jul-2020","        161.60","        162.45","        163.20","        159.55","        162.35","        162.65","        161.47","    8020247","          1295062318.00","      37745","    1393224","         17.37"
"MANAPPURAM","EQ","08-Jul-2020","        162.65","        163.30","        164.95","        155.90","        157.50","        157.45","        160.42","    8056453","          1292432922.95","      36796","    2429107","         30.15"
"MANAPPURAM","EQ","09-Jul-2020","        157.45","        158.70","        161.40","        158.00","        159.80","        159.50","        159.48","    4549756","           725584296.35","      23780","     675664","         14.85"
"MANAPPURAM","EQ","10-Jul-2020","        159.50","        159.65","        161.20","        157.50","        160.00","        160.00","        159.60","    4874845","           778017200.80","      21675","     784730","         16.10"
"MANAPPURAM","EQ","13-Jul-2020","        160.00","        161.30","        162.65","        156.65","        158.00","        157.80","        159.46","    4928754","           785953186.50","      27495","     997203","         20.23"
"MANAPPURAM","EQ","14-Jul-2020","        157.80","        156.85","        158.40","        154.80","        156.35","        157.00","        156.68","    3999765","           626677670.70","      22328","     494541","         12.36"
